BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,BenefitPackageId,IssuerId2,StateCode2,MarketCoverage,DentalOnlyPlan,TIN,StandardComponentId,PlanMarketingName,HIOSProductId,HPID,NetworkId,ServiceAreaId,FormularyId,IsNewPlan,PlanType,MetalLevel,UniquePlanDesign,QHPNonQHPTypeId,IsNoticeRequiredForPregnancy,IsReferralRequiredForSpecialist,SpecialistRequiringReferral,PlanLevelExclusions,IndianPlanVariationEstimatedAdvancedPaymentAmountPerEnrollee,CompositeRatingOffered,ChildOnlyOffering,ChildOnlyPlanId,WellnessProgramOffered,DiseaseManagementProgramsOffered,EHBPercentTotalPremium,EHBPediatricDentalApportionmentQuantity,IsGuaranteedRate,SpecialtyDrugMaximumCoinsurance,InpatientCopaymentMaximumDays,BeginPrimaryCareCostSharingAfterNumberOfVisits,BeginPrimaryCareDeductibleCoinsuranceAfterNumberOfCopays,PlanEffictiveDate,PlanExpirationDate,OutOfCountryCoverage,OutOfCountryCoverageDescription,OutOfServiceAreaCoverage,OutOfServiceAreaCoverageDescription,NationalNetwork,URLForEnrollmentPayment,FormularyURL,PlanId,CSRVariationType,IssuerActuarialValue,AVCalculatorOutputNumber,MedicalDrugDeductiblesIntegrated,MedicalDrugMaximumOutofPocketIntegrated,MultipleInNetworkTiers,FirstTierUtilization,SecondTierUtilization,SBCHavingaBabyDeductible,SBCHavingaBabyCopayment,SBCHavingaBabyCoinsurance,SBCHavingaBabyLimit,SBCHavingDiabetesDeductible,SBCHavingDiabetesCopayment,SBCHavingDiabetesCoinsurance,SBCHavingDiabetesLimit,MEHBInnTier1IndividualMOOP,MEHBInnTier1FamilyPerPersonMOOP,MEHBInnTier1FamilyPerGroupMOOP,MEHBInnTier2IndividualMOOP,MEHBInnTier2FamilyPerPersonMOOP,MEHBInnTier2FamilyPerGroupMOOP,MEHBOutOfNetIndividualMOOP,MEHBOutOfNetFamilyPerPersonMOOP,MEHBOutOfNetFamilyPerGroupMOOP,MEHBCombInnOonIndividualMOOP,MEHBCombInnOonFamilyPerPersonMOOP,MEHBCombInnOonFamilyPerGroupMOOP,DEHBInnTier1IndividualMOOP,DEHBInnTier1FamilyPerPersonMOOP,DEHBInnTier1FamilyPerGroupMOOP,DEHBInnTier2IndividualMOOP,DEHBInnTier2FamilyPerPersonMOOP,DEHBInnTier2FamilyPerGroupMOOP,DEHBOutOfNetIndividualMOOP,DEHBOutOfNetFamilyPerPersonMOOP,DEHBOutOfNetFamilyPerGroupMOOP,DEHBCombInnOonIndividualMOOP,DEHBCombInnOonFamilyPerPersonMOOP,DEHBCombInnOonFamilyPerGroupMOOP,TEHBInnTier1IndividualMOOP,TEHBInnTier1FamilyPerPersonMOOP,TEHBInnTier1FamilyPerGroupMOOP,TEHBInnTier2IndividualMOOP,TEHBInnTier2FamilyPerPersonMOOP,TEHBInnTier2FamilyPerGroupMOOP,TEHBOutOfNetIndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,TEHBOutOfNetFamilyPerGroupMOOP,TEHBCombInnOonIndividualMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonFamilyPerGroupMOOP,MEHBDedInnTier1Individual,MEHBDedInnTier1FamilyPerPerson,MEHBDedInnTier1FamilyPerGroup,MEHBDedInnTier1Coinsurance,MEHBDedInnTier2Individual,MEHBDedInnTier2FamilyPerPerson,MEHBDedInnTier2FamilyPerGroup,MEHBDedInnTier2Coinsurance,MEHBDedOutOfNetIndividual,MEHBDedOutOfNetFamilyPerPerson,MEHBDedOutOfNetFamilyPerGroup,MEHBDedCombInnOonIndividual,MEHBDedCombInnOonFamilyPerPerson,MEHBDedCombInnOonFamilyPerGroup,DEHBDedInnTier1Individual,DEHBDedInnTier1FamilyPerPerson,DEHBDedInnTier1FamilyPerGroup,DEHBDedInnTier1Coinsurance,DEHBDedInnTier2Individual,DEHBDedInnTier2FamilyPerPerson,DEHBDedInnTier2FamilyPerGroup,DEHBDedInnTier2Coinsurance,DEHBDedOutOfNetIndividual,DEHBDedOutOfNetFamilyPerPerson,DEHBDedOutOfNetFamilyPerGroup,DEHBDedCombInnOonIndividual,DEHBDedCombInnOonFamilyPerPerson,DEHBDedCombInnOonFamilyPerGroup,TEHBDedInnTier1Individual,TEHBDedInnTier1FamilyPerPerson,TEHBDedInnTier1FamilyPerGroup,TEHBDedInnTier1Coinsurance,TEHBDedInnTier2Individual,TEHBDedInnTier2FamilyPerPerson,TEHBDedInnTier2FamilyPerGroup,TEHBDedInnTier2Coinsurance,TEHBDedOutOfNetIndividual,TEHBDedOutOfNetFamilyPerPerson,TEHBDedOutOfNetFamilyPerGroup,TEHBDedCombInnOonIndividual,TEHBDedCombInnOonFamilyPerPerson,TEHBDedCombInnOonFamilyPerGroup,IsHSAEligible,HSAOrHRAEmployerContribution,HSAOrHRAEmployerContributionAmount,URLForSummaryofBenefitsCoverage,PlanBrochure,RowNumber
2016,NV,60156,OPM,5,1/26/16 09:59,2,60156,NV,Individual,No,84-1017384,60156NV0390003,"Anthem Blue Cross and Blue Shield  Silver DirectAccess, a Multi-State Plan",60156NV039,,NVN201,NVS201,NVF205,Existing,HMO,Silver,Yes,On the Exchange,No,No,,,$0.00 ,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",1,,,,0,0,2,1/1/16,12/31/16,Yes,Emergency/Urgent Care Only,Yes,Emergency/Urgent Care Only,No,https://payment.anthem.com/sales/payment/exchange?state=NV,www.anthem.com/NVSelectdrugtier4,60156NV0390003-03,Limited Cost Sharing Plan Variation,71.75%,0.723783076,Yes,Yes,No,100%,,"$1,800 ",$100 ,"$1,100 ",$0 ,$500 ,"$2,000 ",$0 ,$200 ,,,,,,,,,,,,,,,,,,,,,,,,,"$6,850 ",$6850 per person,$13700 per group,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,750 ",$1750 per person,$3500 per group,20%,,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,No,,,www.sbc.anthem.com/dps/ccd1G2H,http://editiondigital.net/view/IU65/2016/ON_HIX_NV_KIT_2016,6
2016,NV,60156,OPM,5,1/26/16 09:59,2,60156,NV,Individual,No,84-1017384,60156NV0390003,"Anthem Blue Cross and Blue Shield  Silver DirectAccess, a Multi-State Plan",60156NV039,,NVN201,NVS201,NVF205,Existing,HMO,Silver,Yes,On the Exchange,No,No,,,$0.00 ,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",1,,,,0,0,2,1/1/16,12/31/16,Yes,Emergency/Urgent Care Only,Yes,Emergency/Urgent Care Only,No,https://payment.anthem.com/sales/payment/exchange?state=NV,www.anthem.com/NVSelectdrugtier4,60156NV0390003-04,73% AV Level Silver Plan,73.76%,0.739634097,Yes,Yes,No,100%,,"$1,800 ",$100 ,"$1,100 ",$0 ,$500 ,"$2,000 ",$0 ,$200 ,,,,,,,,,,,,,,,,,,,,,,,,,"$5,200 ",$5200 per person,$10400 per group,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,750 ",$1750 per person,$3500 per group,20%,,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,No,,,www.sbc.anthem.com/dps/ccd1G56,http://editiondigital.net/view/IU65/2016/ON_HIX_NV_KIT_2016,7
2016,NV,60156,OPM,5,1/26/16 09:59,2,60156,NV,Individual,No,84-1017384,60156NV0390003,"Anthem Blue Cross and Blue Shield  Silver DirectAccess, a Multi-State Plan",60156NV039,,NVN201,NVS201,NVF205,Existing,HMO,Silver,Yes,On the Exchange,No,No,,,$0.00 ,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",1,,,,0,0,2,1/1/16,12/31/16,Yes,Emergency/Urgent Care Only,Yes,Emergency/Urgent Care Only,No,https://payment.anthem.com/sales/payment/exchange?state=NV,www.anthem.com/NVSelectdrugtier4,60156NV0390003-05,87% AV Level Silver Plan,87.23%,0.872775912,Yes,Yes,No,100%,,$700 ,$40 ,$800 ,$0 ,$500 ,"$1,000 ",$82 ,$200 ,,,,,,,,,,,,,,,,,,,,,,,,,"$1,500 ",$1500 per person,$3000 per group,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$700 ,$700 per person,$1400 per group,20%,,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,No,,,www.sbc.anthem.com/dps/ccd1G57,http://editiondigital.net/view/IU65/2016/ON_HIX_NV_KIT_2016,8
2016,NV,60156,OPM,5,1/26/16 09:59,2,60156,NV,Individual,No,84-1017384,60156NV0390003,"Anthem Blue Cross and Blue Shield  Silver DirectAccess, a Multi-State Plan",60156NV039,,NVN201,NVS201,NVF205,Existing,HMO,Silver,Yes,On the Exchange,No,No,,,$0.00 ,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",1,,,,0,0,2,1/1/16,12/31/16,Yes,Emergency/Urgent Care Only,Yes,Emergency/Urgent Care Only,No,https://payment.anthem.com/sales/payment/exchange?state=NV,www.anthem.com/NVSelectdrugtier4,60156NV0390003-06,94% AV Level Silver Plan,93.34%,0.933252633,Yes,Yes,No,100%,,$200 ,$40 ,$400 ,$0 ,$200 ,$400 ,$10 ,$200 ,,,,,,,,,,,,,,,,,,,,,,,,,$650 ,$650 per person,$1300 per group,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$200 ,$200 per person,$400 per group,20%,,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,No,,,www.sbc.anthem.com/dps/ccd1G58,http://editiondigital.net/view/IU65/2016/ON_HIX_NV_KIT_2016,9
2016,NV,60156,OPM,5,1/26/16 09:59,1,60156,NV,Individual,No,84-1017384,60156NV0390004,"Anthem Blue Cross and Blue Shield Gold DirectAccess, a Multi-State Plan",60156NV039,,NVN201,NVS201,NVF204,Existing,HMO,Gold,Yes,On the Exchange,No,No,,,$0.00 ,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",1,,,,0,0,2,1/1/16,12/31/16,Yes,Emergency/Urgent Care Only,Yes,Emergency/Urgent Care Only,No,https://payment.anthem.com/sales/payment/exchange?state=NV,www.anthem.com/NVSelectdrugtier4,60156NV0390004-01,Standard Gold On Exchange Plan,80.38%,0.808015227,Yes,Yes,No,100%,,"$1,100 ","$1,100 ",$500 ,$0 ,$500 ,"$1,600 ",$0 ,$200 ,,,,,,,,,,,,,,,,,,,,,,,,,"$6,000 ",$6000 per person,$12000 per group,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,100 ",$1100 per person,$2200 per group,10%,,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,No,,,www.sbc.anthem.com/dps/ccd1G3B,http://editiondigital.net/view/IU65/2016/ON_HIX_NV_KIT_2016,4
2016,NV,60156,OPM,5,1/26/16 09:59,1,60156,NV,Individual,No,84-1017384,60156NV0390004,"Anthem Blue Cross and Blue Shield Gold DirectAccess, a Multi-State Plan",60156NV039,,NVN201,NVS201,NVF204,Existing,HMO,Gold,Yes,On the Exchange,No,No,,,$0.00 ,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",1,,,,0,0,2,1/1/16,12/31/16,Yes,Emergency/Urgent Care Only,Yes,Emergency/Urgent Care Only,No,https://payment.anthem.com/sales/payment/exchange?state=NV,www.anthem.com/NVSelectdrugtier4,60156NV0390004-02,Zero Cost Sharing Plan Variation,100.00%,1,Yes,Yes,No,100%,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,,,,,,,,,,,,,,,,,,,,,,,,,$0 ,$0 per person,$0 per group,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0 ,$0 per person,$0 per group,0%,,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,No,,,www.sbc.anthem.com/dps/ccd1G2U,http://editiondigital.net/view/IU65/2016/ON_HIX_NV_KIT_2016,5
2016,NV,60156,OPM,5,1/26/16 09:59,1,60156,NV,Individual,No,84-1017384,60156NV0390004,"Anthem Blue Cross and Blue Shield Gold DirectAccess, a Multi-State Plan",60156NV039,,NVN201,NVS201,NVF204,Existing,HMO,Gold,Yes,On the Exchange,No,No,,,$0.00 ,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",1,,,,0,0,2,1/1/16,12/31/16,Yes,Emergency/Urgent Care Only,Yes,Emergency/Urgent Care Only,No,https://payment.anthem.com/sales/payment/exchange?state=NV,www.anthem.com/NVSelectdrugtier4,60156NV0390004-03,Limited Cost Sharing Plan Variation,80.38%,0.808015227,Yes,Yes,No,100%,,"$1,100 ","$1,100 ",$500 ,$0 ,$500 ,"$1,600 ",$0 ,$200 ,,,,,,,,,,,,,,,,,,,,,,,,,"$6,000 ",$6000 per person,$12000 per group,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,100 ",$1100 per person,$2200 per group,10%,,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,No,,,www.sbc.anthem.com/dps/ccd1G3B,http://editiondigital.net/view/IU65/2016/ON_HIX_NV_KIT_2016,6
2016,NV,60156,OPM,5,1/26/16 09:59,2,60156,NV,Individual,No,84-1017384,60156NV0390003,"Anthem Blue Cross and Blue Shield  Silver DirectAccess, a Multi-State Plan",60156NV039,,NVN201,NVS201,NVF205,Existing,HMO,Silver,Yes,On the Exchange,No,No,,,$0.00 ,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",1,,,,0,0,2,1/1/16,12/31/16,Yes,Emergency/Urgent Care Only,Yes,Emergency/Urgent Care Only,No,https://payment.anthem.com/sales/payment/exchange?state=NV,www.anthem.com/NVSelectdrugtier4,60156NV0390003-01,Standard Silver On Exchange Plan,71.75%,0.723783076,Yes,Yes,No,100%,,"$1,800 ",$100 ,"$1,100 ",$0 ,$500 ,"$2,000 ",$0 ,$200 ,,,,,,,,,,,,,,,,,,,,,,,,,"$6,850 ",$6850 per person,$13700 per group,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,750 ",$1750 per person,$3500 per group,20%,,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,No,,,www.sbc.anthem.com/dps/ccd1G2H,http://editiondigital.net/view/IU65/2016/ON_HIX_NV_KIT_2016,4
2016,NV,60156,OPM,5,1/26/16 09:59,2,60156,NV,Individual,No,84-1017384,60156NV0390003,"Anthem Blue Cross and Blue Shield  Silver DirectAccess, a Multi-State Plan",60156NV039,,NVN201,NVS201,NVF205,Existing,HMO,Silver,Yes,On the Exchange,No,No,,,$0.00 ,No,Allows Adult and Child-Only,,No,"Asthma, Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Low Back Pain, Pain Management",1,,,,0,0,2,1/1/16,12/31/16,Yes,Emergency/Urgent Care Only,Yes,Emergency/Urgent Care Only,No,https://payment.anthem.com/sales/payment/exchange?state=NV,www.anthem.com/NVSelectdrugtier4,60156NV0390003-02,Zero Cost Sharing Plan Variation,100.00%,1,Yes,Yes,No,100%,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,,,,,,,,,,,,,,,,,,,,,,,,,$0 ,$0 per person,$0 per group,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0 ,$0 per person,$0 per group,0%,,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,No,,,www.sbc.anthem.com/dps/ccd1G2U,http://editiondigital.net/view/IU65/2016/ON_HIX_NV_KIT_2016,5
2016,NV,16698,SERFF,5,8/20/15 12:28,4,16698,NV,Individual,No,88-0293082,16698NV0450004,Prominence Health Plan Silver 10 Premier,16698NV045,,NVN001,NVS001,NVF004,Existing,HMO,Silver,No,Both,No,No,,,$0.00 ,No,Allows Adult and Child-Only,,Yes,"Heart Disease, Depression, Diabetes, High Blood Pressure & High Cholesterol, Pregnancy, Weight Loss Programs",0.9995,,,,5,0,0,1/1/16,12/31/16,Yes,Emergency Only,Yes,Emergency Only,No,https://prominencehealthplan.softheon.com/Marketplace/PaymentCenter/Payment.aspx,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,16698NV0450004-04,73% AV Level Silver Plan,,0.734999418,No,Yes,No,100%,,$0 ,"$1,490 ",$0 ,$150 ,$0 ,"$1,570 ",$0 ,$80 ,,,,,,,,,,,,,,,,,,,,,,,,,"$5,000 ",$5000 per person,$10000 per group,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,"$3,000 ",$3000 per person,$9000 per group,20%,,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,$0 ,$0 per person,$0 per group,0%,,,,,Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,,,,,,,,,,,,,,,No,,,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,8
